iter,acc,nmi,ari,acc_unconf,nmi_unconf,acc_conf,nmi_conf,nb_unconf,nb_conf,fr,fd,loss
6440,0.56251,0.60214,0.44228,0.5980052181379835,0.6507961274421382,0.3554331709383605,0.34441247245641093,60558,9442,0.79029,0.80103,0.02664820510627968
6580,0.56334,0.60243,0.44259,0.5990160307738026,0.6511515908751057,0.3538020999045498,0.3421731402435053,60571,9429,0.71971,0.75914,0.026319279268916165
6720,0.56337,0.60313,0.44338,0.598862418596983,0.6513738417512686,0.3535580524344569,0.34312697223352556,60655,9345,0.71657,0.77607,0.026184220252824682
6860,0.56374,0.60342,0.4433,0.5993076162215628,0.6512867531171972,0.35278372591006424,0.3436267961984276,60660,9340,0.67392,0.73328,0.025834521704486437
7000,0.56433,0.6044,0.44441,0.5999143144330746,0.6522538659819597,0.352947492752067,0.3444770736637498,60687,9313,0.60923,0.72905,0.02568416217608111
7140,0.56423,0.60455,0.44451,0.5994572368421053,0.6520889926465431,0.3518478260869565,0.343560785785085,60800,9200,0.7395,0.77061,0.025627179111221008
7280,0.56469,0.60538,0.44543,0.5991716520938795,0.6519999115060968,0.35583224115334205,0.34722642487277233,60844,9156,0.73595,0.78418,0.025333239936402865
7420,0.5649,0.60558,0.44536,0.5995110987154036,0.6519586862109474,0.353155742234995,0.3443691692869848,60953,9047,0.74717,0.7827,0.025351740792393683
7560,0.56564,0.60621,0.44656,0.599803520261973,0.6523819572040965,0.35282913165266105,0.34348324630691324,61075,8925,0.76391,0.81054,0.025096182192542723
7700,0.56571,0.60635,0.44652,0.5720285714285714,0.6073495479415254,0,0,61048,8952,0.83281,0.9213,0.025112275459936686
7840,0.56546,0.60495,0.44475,0.5654571428571429,0.6049496962608787,0,0,70000,0,0.70398,0.84095,0.026410939477916274
